# Index	Name	log nH [cm^-3]	R [kpc]		Tk	Z
199		dif_199	-5.0000       	0.8000        	3.3000e+00    	-1.2000       
200		dif_200	-5.0000       	0.8000        	4.1000e+00    	-1.2000       
201		dif_201	-5.0000       	0.8000        	4.9000e+00    	-1.2000       
202		dif_202	-5.0000       	0.8000        	5.7000e+00    	-1.2000       
203		dif_203	-5.0000       	0.8000        	6.5000e+00    	-1.2000       
204		dif_204	-5.0000       	0.8000        	2.5000e+00    	-0.6000       
205		dif_205	-5.0000       	0.8000        	3.3000e+00    	-0.6000       
206		dif_206	-5.0000       	0.8000        	4.1000e+00    	-0.6000       
207		dif_207	-5.0000       	0.8000        	4.9000e+00    	-0.6000       
208		dif_208	-5.0000       	0.8000        	5.7000e+00    	-0.6000       
209		dif_209	-5.0000       	0.8000        	6.5000e+00    	-0.6000       
210		dif_210	-5.0000       	0.8000        	2.5000e+00    	0.0000        
211		dif_211	-5.0000       	0.8000        	3.3000e+00    	0.0000        
212		dif_212	-5.0000       	0.8000        	4.1000e+00    	0.0000        
213		dif_213	-5.0000       	0.8000        	4.9000e+00    	0.0000        
214		dif_214	-5.0000       	0.8000        	5.7000e+00    	0.0000        
215		dif_215	-5.0000       	0.8000        	6.5000e+00    	0.0000        
216		dif_216	-4.0600       	-0.7000       	2.5000e+00    	-3.0000       
217		dif_217	-4.0600       	-0.7000       	3.3000e+00    	-3.0000       
218		dif_218	-4.0600       	-0.7000       	4.1000e+00    	-3.0000       
219		dif_219	-4.0600       	-0.7000       	4.9000e+00    	-3.0000       
220		dif_220	-4.0600       	-0.7000       	5.7000e+00    	-3.0000       
221		dif_221	-4.0600       	-0.7000       	6.5000e+00    	-3.0000       
222		dif_222	-4.0600       	-0.7000       	2.5000e+00    	-2.4000       
223		dif_223	-4.0600       	-0.7000       	3.3000e+00    	-2.4000       
224		dif_224	-4.0600       	-0.7000       	4.1000e+00    	-2.4000       
225		dif_225	-4.0600       	-0.7000       	4.9000e+00    	-2.4000       
226		dif_226	-4.0600       	-0.7000       	5.7000e+00    	-2.4000       
227		dif_227	-4.0600       	-0.7000       	6.5000e+00    	-2.4000       
228		dif_228	-4.0600       	-0.7000       	2.5000e+00    	-1.8000       
