# Index	Name	log nH [cm^-3]	R [kpc]		Tk	Z
1136		dif_1136	-0.3000       	-0.4000       	4.1000e+00    	-1.2000       
1137		dif_1137	-0.3000       	-0.4000       	4.9000e+00    	-1.2000       
1138		dif_1138	-0.3000       	-0.4000       	5.7000e+00    	-1.2000       
1139		dif_1139	-0.3000       	-0.4000       	6.5000e+00    	-1.2000       
1140		dif_1140	-0.3000       	-0.4000       	2.5000e+00    	-0.6000       
1141		dif_1141	-0.3000       	-0.4000       	3.3000e+00    	-0.6000       
1142		dif_1142	-0.3000       	-0.4000       	4.1000e+00    	-0.6000       
1143		dif_1143	-0.3000       	-0.4000       	4.9000e+00    	-0.6000       
1144		dif_1144	-0.3000       	-0.4000       	5.7000e+00    	-0.6000       
1145		dif_1145	-0.3000       	-0.4000       	6.5000e+00    	-0.6000       
1146		dif_1146	-0.3000       	-0.4000       	2.5000e+00    	0.0000        
1147		dif_1147	-0.3000       	-0.4000       	3.3000e+00    	0.0000        
1148		dif_1148	-0.3000       	-0.4000       	4.1000e+00    	0.0000        
1149		dif_1149	-0.3000       	-0.4000       	4.9000e+00    	0.0000        
1150		dif_1150	-0.3000       	-0.4000       	5.7000e+00    	0.0000        
1151		dif_1151	-0.3000       	-0.4000       	6.5000e+00    	0.0000        
1152		dif_1152	-0.3000       	-0.1000       	2.5000e+00    	-3.0000       
1153		dif_1153	-0.3000       	-0.1000       	3.3000e+00    	-3.0000       
1154		dif_1154	-0.3000       	-0.1000       	4.1000e+00    	-3.0000       
1155		dif_1155	-0.3000       	-0.1000       	4.9000e+00    	-3.0000       
1156		dif_1156	-0.3000       	-0.1000       	5.7000e+00    	-3.0000       
1157		dif_1157	-0.3000       	-0.1000       	6.5000e+00    	-3.0000       
1158		dif_1158	-0.3000       	-0.1000       	2.5000e+00    	-2.4000       
1159		dif_1159	-0.3000       	-0.1000       	3.3000e+00    	-2.4000       
1160		dif_1160	-0.3000       	-0.1000       	4.1000e+00    	-2.4000       
1161		dif_1161	-0.3000       	-0.1000       	4.9000e+00    	-2.4000       
1162		dif_1162	-0.3000       	-0.1000       	5.7000e+00    	-2.4000       
1163		dif_1163	-0.3000       	-0.1000       	6.5000e+00    	-2.4000       
1164		dif_1164	-0.3000       	-0.1000       	2.5000e+00    	-1.8000       
1165		dif_1165	-0.3000       	-0.1000       	3.3000e+00    	-1.8000       
1166		dif_1166	-0.3000       	-0.1000       	4.1000e+00    	-1.8000       
1167		dif_1167	-0.3000       	-0.1000       	4.9000e+00    	-1.8000       
1168		dif_1168	-0.3000       	-0.1000       	5.7000e+00    	-1.8000       
1169		dif_1169	-0.3000       	-0.1000       	6.5000e+00    	-1.8000       
1170		dif_1170	-0.3000       	-0.1000       	2.5000e+00    	-1.2000       
1171		dif_1171	-0.3000       	-0.1000       	3.3000e+00    	-1.2000       
1172		dif_1172	-0.3000       	-0.1000       	4.1000e+00    	-1.2000       
1173		dif_1173	-0.3000       	-0.1000       	4.9000e+00    	-1.2000       
1174		dif_1174	-0.3000       	-0.1000       	5.7000e+00    	-1.2000       
1175		dif_1175	-0.3000       	-0.1000       	6.5000e+00    	-1.2000       
1176		dif_1176	-0.3000       	-0.1000       	2.5000e+00    	-0.6000       
1177		dif_1177	-0.3000       	-0.1000       	3.3000e+00    	-0.6000       
1178		dif_1178	-0.3000       	-0.1000       	4.1000e+00    	-0.6000       
1179		dif_1179	-0.3000       	-0.1000       	4.9000e+00    	-0.6000       
1180		dif_1180	-0.3000       	-0.1000       	5.7000e+00    	-0.6000       
1181		dif_1181	-0.3000       	-0.1000       	6.5000e+00    	-0.6000       
1182		dif_1182	-0.3000       	-0.1000       	2.5000e+00    	0.0000        
1183		dif_1183	-0.3000       	-0.1000       	3.3000e+00    	0.0000        
1184		dif_1184	-0.3000       	-0.1000       	4.1000e+00    	0.0000        
1185		dif_1185	-0.3000       	-0.1000       	4.9000e+00    	0.0000        
1186		dif_1186	-0.3000       	-0.1000       	5.7000e+00    	0.0000        
1187		dif_1187	-0.3000       	-0.1000       	6.5000e+00    	0.0000        
1188		dif_1188	-0.3000       	0.2000        	2.5000e+00    	-3.0000       
1189		dif_1189	-0.3000       	0.2000        	3.3000e+00    	-3.0000       
1190		dif_1190	-0.3000       	0.2000        	4.1000e+00    	-3.0000       
1191		dif_1191	-0.3000       	0.2000        	4.9000e+00    	-3.0000       
1192		dif_1192	-0.3000       	0.2000        	5.7000e+00    	-3.0000       
1193		dif_1193	-0.3000       	0.2000        	6.5000e+00    	-3.0000       
1194		dif_1194	-0.3000       	0.2000        	2.5000e+00    	-2.4000       
1195		dif_1195	-0.3000       	0.2000        	3.3000e+00    	-2.4000       
1196		dif_1196	-0.3000       	0.2000        	4.1000e+00    	-2.4000       
1197		dif_1197	-0.3000       	0.2000        	4.9000e+00    	-2.4000       
1198		dif_1198	-0.3000       	0.2000        	5.7000e+00    	-2.4000       
1199		dif_1199	-0.3000       	0.2000        	6.5000e+00    	-2.4000       
1200		dif_1200	-0.3000       	0.2000        	2.5000e+00    	-1.8000       
1201		dif_1201	-0.3000       	0.2000        	3.3000e+00    	-1.8000       
1202		dif_1202	-0.3000       	0.2000        	4.1000e+00    	-1.8000       
1203		dif_1203	-0.3000       	0.2000        	4.9000e+00    	-1.8000       
1204		dif_1204	-0.3000       	0.2000        	5.7000e+00    	-1.8000       
1205		dif_1205	-0.3000       	0.2000        	6.5000e+00    	-1.8000       
1206		dif_1206	-0.3000       	0.2000        	2.5000e+00    	-1.2000       
1207		dif_1207	-0.3000       	0.2000        	3.3000e+00    	-1.2000       
1208		dif_1208	-0.3000       	0.2000        	4.1000e+00    	-1.2000       
1209		dif_1209	-0.3000       	0.2000        	4.9000e+00    	-1.2000       
1210		dif_1210	-0.3000       	0.2000        	5.7000e+00    	-1.2000       
1211		dif_1211	-0.3000       	0.2000        	6.5000e+00    	-1.2000       
1212		dif_1212	-0.3000       	0.2000        	2.5000e+00    	-0.6000       
1213		dif_1213	-0.3000       	0.2000        	3.3000e+00    	-0.6000       
1214		dif_1214	-0.3000       	0.2000        	4.1000e+00    	-0.6000       
1215		dif_1215	-0.3000       	0.2000        	4.9000e+00    	-0.6000       
1216		dif_1216	-0.3000       	0.2000        	5.7000e+00    	-0.6000       
1217		dif_1217	-0.3000       	0.2000        	6.5000e+00    	-0.6000       
1218		dif_1218	-0.3000       	0.2000        	2.5000e+00    	0.0000        
1219		dif_1219	-0.3000       	0.2000        	3.3000e+00    	0.0000        
1220		dif_1220	-0.3000       	0.2000        	4.1000e+00    	0.0000        
1221		dif_1221	-0.3000       	0.2000        	4.9000e+00    	0.0000        
1222		dif_1222	-0.3000       	0.2000        	5.7000e+00    	0.0000        
1223		dif_1223	-0.3000       	0.2000        	6.5000e+00    	0.0000        
1224		dif_1224	-0.3000       	0.5000        	2.5000e+00    	-3.0000       
1225		dif_1225	-0.3000       	0.5000        	3.3000e+00    	-3.0000       
1226		dif_1226	-0.3000       	0.5000        	4.1000e+00    	-3.0000       
1227		dif_1227	-0.3000       	0.5000        	4.9000e+00    	-3.0000       
1228		dif_1228	-0.3000       	0.5000        	5.7000e+00    	-3.0000       
1229		dif_1229	-0.3000       	0.5000        	6.5000e+00    	-3.0000       
1230		dif_1230	-0.3000       	0.5000        	2.5000e+00    	-2.4000       
1231		dif_1231	-0.3000       	0.5000        	3.3000e+00    	-2.4000       
1232		dif_1232	-0.3000       	0.5000        	4.1000e+00    	-2.4000       
1233		dif_1233	-0.3000       	0.5000        	4.9000e+00    	-2.4000       
1234		dif_1234	-0.3000       	0.5000        	5.7000e+00    	-2.4000       
1235		dif_1235	-0.3000       	0.5000        	6.5000e+00    	-2.4000       
1236		dif_1236	-0.3000       	0.5000        	2.5000e+00    	-1.8000       
1237		dif_1237	-0.3000       	0.5000        	3.3000e+00    	-1.8000       
1238		dif_1238	-0.3000       	0.5000        	4.1000e+00    	-1.8000       
1239		dif_1239	-0.3000       	0.5000        	4.9000e+00    	-1.8000       
1240		dif_1240	-0.3000       	0.5000        	5.7000e+00    	-1.8000       
1241		dif_1241	-0.3000       	0.5000        	6.5000e+00    	-1.8000       
1242		dif_1242	-0.3000       	0.5000        	2.5000e+00    	-1.2000       
1243		dif_1243	-0.3000       	0.5000        	3.3000e+00    	-1.2000       
1244		dif_1244	-0.3000       	0.5000        	4.1000e+00    	-1.2000       
1245		dif_1245	-0.3000       	0.5000        	4.9000e+00    	-1.2000       
1246		dif_1246	-0.3000       	0.5000        	5.7000e+00    	-1.2000       
1247		dif_1247	-0.3000       	0.5000        	6.5000e+00    	-1.2000       
1248		dif_1248	-0.3000       	0.5000        	2.5000e+00    	-0.6000       
1249		dif_1249	-0.3000       	0.5000        	3.3000e+00    	-0.6000       
1250		dif_1250	-0.3000       	0.5000        	4.1000e+00    	-0.6000       
1251		dif_1251	-0.3000       	0.5000        	4.9000e+00    	-0.6000       
1252		dif_1252	-0.3000       	0.5000        	5.7000e+00    	-0.6000       
1253		dif_1253	-0.3000       	0.5000        	6.5000e+00    	-0.6000       
1254		dif_1254	-0.3000       	0.5000        	2.5000e+00    	0.0000        
1255		dif_1255	-0.3000       	0.5000        	3.3000e+00    	0.0000        
1256		dif_1256	-0.3000       	0.5000        	4.1000e+00    	0.0000        
1257		dif_1257	-0.3000       	0.5000        	4.9000e+00    	0.0000        
1258		dif_1258	-0.3000       	0.5000        	5.7000e+00    	0.0000        
1259		dif_1259	-0.3000       	0.5000        	6.5000e+00    	0.0000        
1260		dif_1260	-0.3000       	0.8000        	2.5000e+00    	-3.0000       
1261		dif_1261	-0.3000       	0.8000        	3.3000e+00    	-3.0000       
1262		dif_1262	-0.3000       	0.8000        	4.1000e+00    	-3.0000       
1263		dif_1263	-0.3000       	0.8000        	4.9000e+00    	-3.0000       
1264		dif_1264	-0.3000       	0.8000        	5.7000e+00    	-3.0000       
1265		dif_1265	-0.3000       	0.8000        	6.5000e+00    	-3.0000       
1266		dif_1266	-0.3000       	0.8000        	2.5000e+00    	-2.4000       
1267		dif_1267	-0.3000       	0.8000        	3.3000e+00    	-2.4000       
1268		dif_1268	-0.3000       	0.8000        	4.1000e+00    	-2.4000       
1269		dif_1269	-0.3000       	0.8000        	4.9000e+00    	-2.4000       
1270		dif_1270	-0.3000       	0.8000        	5.7000e+00    	-2.4000       
1271		dif_1271	-0.3000       	0.8000        	6.5000e+00    	-2.4000       
1272		dif_1272	-0.3000       	0.8000        	2.5000e+00    	-1.8000       
1273		dif_1273	-0.3000       	0.8000        	3.3000e+00    	-1.8000       
1274		dif_1274	-0.3000       	0.8000        	4.1000e+00    	-1.8000       
1275		dif_1275	-0.3000       	0.8000        	4.9000e+00    	-1.8000       
1276		dif_1276	-0.3000       	0.8000        	5.7000e+00    	-1.8000       
1277		dif_1277	-0.3000       	0.8000        	6.5000e+00    	-1.8000       
1278		dif_1278	-0.3000       	0.8000        	2.5000e+00    	-1.2000       
1279		dif_1279	-0.3000       	0.8000        	3.3000e+00    	-1.2000       
1280		dif_1280	-0.3000       	0.8000        	4.1000e+00    	-1.2000       
1281		dif_1281	-0.3000       	0.8000        	4.9000e+00    	-1.2000       
1282		dif_1282	-0.3000       	0.8000        	5.7000e+00    	-1.2000       
1283		dif_1283	-0.3000       	0.8000        	6.5000e+00    	-1.2000       
1284		dif_1284	-0.3000       	0.8000        	2.5000e+00    	-0.6000       
1285		dif_1285	-0.3000       	0.8000        	3.3000e+00    	-0.6000       
1286		dif_1286	-0.3000       	0.8000        	4.1000e+00    	-0.6000       
1287		dif_1287	-0.3000       	0.8000        	4.9000e+00    	-0.6000       
1288		dif_1288	-0.3000       	0.8000        	5.7000e+00    	-0.6000       
1289		dif_1289	-0.3000       	0.8000        	6.5000e+00    	-0.6000       
1290		dif_1290	-0.3000       	0.8000        	2.5000e+00    	0.0000        
1291		dif_1291	-0.3000       	0.8000        	3.3000e+00    	0.0000        
1292		dif_1292	-0.3000       	0.8000        	4.1000e+00    	0.0000        
1293		dif_1293	-0.3000       	0.8000        	4.9000e+00    	0.0000        
1294		dif_1294	-0.3000       	0.8000        	5.7000e+00    	0.0000        
1295		dif_1295	-0.3000       	0.8000        	6.5000e+00    	0.0000        
